column,type,description,unit,range,missing_value_policy
bark_energy_mean,float,"Bark energy mean. Computed as sum of 24 mel-band energies per time frame (axis=0 summation across mel bins), then averaged across all time frames. Represents total spectral energy per time point. See Methods section for mel spectrogram parameters (n_mels=24, n_fft=2048, hop_length=512).",-,>=0,0
bark_energy_std,float,Bark energy std deviation (temporal variation across time frames),-,>=0,0
delta_energy_mean,float,Delta energy mean (first-order temporal derivative of mel spectrogram energy),-,real,0
delta_energy_std,float,Delta energy std deviation,-,>=0,0
delta2_energy_mean,float,Delta-delta energy mean (second-order temporal derivative),-,real,0
delta2_energy_std,float,Delta-delta energy std deviation,-,>=0,0
spectral_centroid_mean,float,Spectral centroid mean,Hz,>=0,0
spectral_centroid_std,float,Spectral centroid std deviation,Hz,>=0,0
spectral_bandwidth_mean,float,Spectral bandwidth mean,Hz,>=0,0
spectral_bandwidth_std,float,Spectral bandwidth std deviation,Hz,>=0,0
spectral_rolloff_mean,float,Spectral rolloff mean,Hz,>=0,0
spectral_rolloff_std,float,Spectral rolloff std deviation,Hz,>=0,0
zcr_mean,float,Zero-crossing rate mean,-,0.0 to 1.0,0
zcr_std,float,Zero-crossing rate std deviation,-,>=0,0
chroma_mean,float,Chroma feature mean,-,>=0,0
chroma_std,float,Chroma feature std deviation,-,>=0,0
audio_quality_score,float,Overall audio quality score,-,0.0 to 1.0,0
audio_duration,float,Audio duration,seconds,>=0,0
audio_snr,float,"Signal-to-noise ratio (STFT-based, see Methods)",dB,real,0
audio_snr_computation,string,SNR computation method with parameters,-,-,failed
audio_rms,float,Root mean square amplitude,-,>=0,0
audio_spectral_centroid,float,Mean spectral centroid,Hz,>=0,0
audio_dynamic_range,float,Dynamic range,-,>=0,0
pause_num_pauses,integer,Number of pauses detected,count,>=0,0
pause_total_pause_duration,float,Total pause duration,seconds,>=0,0
pause_avg_pause_duration,float,Average pause duration,seconds,>=0,0
pause_longest_pause_duration,float,Longest pause duration,seconds,>=0,0
pause_pause_frequency,float,Pauses per second,Hz,>=0,0
