column,type,description,unit,range,missing_value_policy
Landmark_130_X,float,Face/Iris landmark 130 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_130_Y,float,Face/Iris landmark 130 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_130_Z,float,"Face/Iris landmark 130 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_131_X,float,Face/Iris landmark 131 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_131_Y,float,Face/Iris landmark 131 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_131_Z,float,"Face/Iris landmark 131 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_132_X,float,Face/Iris landmark 132 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_132_Y,float,Face/Iris landmark 132 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_132_Z,float,"Face/Iris landmark 132 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_133_X,float,Face/Iris landmark 133 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_133_Y,float,Face/Iris landmark 133 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_133_Z,float,"Face/Iris landmark 133 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_134_X,float,Face/Iris landmark 134 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_134_Y,float,Face/Iris landmark 134 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_134_Z,float,"Face/Iris landmark 134 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_135_X,float,Face/Iris landmark 135 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_135_Y,float,Face/Iris landmark 135 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_135_Z,float,"Face/Iris landmark 135 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_136_X,float,Face/Iris landmark 136 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_136_Y,float,Face/Iris landmark 136 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_136_Z,float,"Face/Iris landmark 136 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_137_X,float,Face/Iris landmark 137 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_137_Y,float,Face/Iris landmark 137 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_137_Z,float,"Face/Iris landmark 137 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_138_X,float,Face/Iris landmark 138 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_138_Y,float,Face/Iris landmark 138 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_138_Z,float,"Face/Iris landmark 138 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_139_X,float,Face/Iris landmark 139 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_139_Y,float,Face/Iris landmark 139 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_139_Z,float,"Face/Iris landmark 139 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_140_X,float,Face/Iris landmark 140 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_140_Y,float,Face/Iris landmark 140 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_140_Z,float,"Face/Iris landmark 140 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_141_X,float,Face/Iris landmark 141 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_141_Y,float,Face/Iris landmark 141 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_141_Z,float,"Face/Iris landmark 141 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_142_X,float,Face/Iris landmark 142 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_142_Y,float,Face/Iris landmark 142 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_142_Z,float,"Face/Iris landmark 142 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_143_X,float,Face/Iris landmark 143 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_143_Y,float,Face/Iris landmark 143 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_143_Z,float,"Face/Iris landmark 143 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_144_X,float,Face/Iris landmark 144 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_144_Y,float,Face/Iris landmark 144 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_144_Z,float,"Face/Iris landmark 144 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_145_X,float,Face/Iris landmark 145 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_145_Y,float,Face/Iris landmark 145 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_145_Z,float,"Face/Iris landmark 145 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_146_X,float,Face/Iris landmark 146 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_146_Y,float,Face/Iris landmark 146 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_146_Z,float,"Face/Iris landmark 146 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_147_X,float,Face/Iris landmark 147 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_147_Y,float,Face/Iris landmark 147 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_147_Z,float,"Face/Iris landmark 147 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_148_X,float,Face/Iris landmark 148 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_148_Y,float,Face/Iris landmark 148 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_148_Z,float,"Face/Iris landmark 148 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_149_X,float,Face/Iris landmark 149 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_149_Y,float,Face/Iris landmark 149 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_149_Z,float,"Face/Iris landmark 149 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_150_X,float,Face/Iris landmark 150 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_150_Y,float,Face/Iris landmark 150 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_150_Z,float,"Face/Iris landmark 150 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_151_X,float,Face/Iris landmark 151 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_151_Y,float,Face/Iris landmark 151 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_151_Z,float,"Face/Iris landmark 151 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_152_X,float,Face/Iris landmark 152 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_152_Y,float,Face/Iris landmark 152 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_152_Z,float,"Face/Iris landmark 152 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_153_X,float,Face/Iris landmark 153 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_153_Y,float,Face/Iris landmark 153 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_153_Z,float,"Face/Iris landmark 153 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_154_X,float,Face/Iris landmark 154 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_154_Y,float,Face/Iris landmark 154 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_154_Z,float,"Face/Iris landmark 154 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_155_X,float,Face/Iris landmark 155 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_155_Y,float,Face/Iris landmark 155 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_155_Z,float,"Face/Iris landmark 155 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_156_X,float,Face/Iris landmark 156 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_156_Y,float,Face/Iris landmark 156 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_156_Z,float,"Face/Iris landmark 156 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_157_X,float,Face/Iris landmark 157 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_157_Y,float,Face/Iris landmark 157 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_157_Z,float,"Face/Iris landmark 157 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_158_X,float,Face/Iris landmark 158 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_158_Y,float,Face/Iris landmark 158 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_158_Z,float,"Face/Iris landmark 158 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_159_X,float,Face/Iris landmark 159 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_159_Y,float,Face/Iris landmark 159 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_159_Z,float,"Face/Iris landmark 159 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_160_X,float,Face/Iris landmark 160 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_160_Y,float,Face/Iris landmark 160 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_160_Z,float,"Face/Iris landmark 160 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_161_X,float,Face/Iris landmark 161 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_161_Y,float,Face/Iris landmark 161 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_161_Z,float,"Face/Iris landmark 161 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_162_X,float,Face/Iris landmark 162 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_162_Y,float,Face/Iris landmark 162 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_162_Z,float,"Face/Iris landmark 162 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_163_X,float,Face/Iris landmark 163 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_163_Y,float,Face/Iris landmark 163 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_163_Z,float,"Face/Iris landmark 163 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_164_X,float,Face/Iris landmark 164 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_164_Y,float,Face/Iris landmark 164 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_164_Z,float,"Face/Iris landmark 164 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_165_X,float,Face/Iris landmark 165 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_165_Y,float,Face/Iris landmark 165 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_165_Z,float,"Face/Iris landmark 165 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_166_X,float,Face/Iris landmark 166 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_166_Y,float,Face/Iris landmark 166 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_166_Z,float,"Face/Iris landmark 166 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_167_X,float,Face/Iris landmark 167 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_167_Y,float,Face/Iris landmark 167 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_167_Z,float,"Face/Iris landmark 167 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_168_X,float,Face/Iris landmark 168 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_168_Y,float,Face/Iris landmark 168 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_168_Z,float,"Face/Iris landmark 168 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_169_X,float,Face/Iris landmark 169 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_169_Y,float,Face/Iris landmark 169 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_169_Z,float,"Face/Iris landmark 169 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_170_X,float,Face/Iris landmark 170 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_170_Y,float,Face/Iris landmark 170 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_170_Z,float,"Face/Iris landmark 170 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_171_X,float,Face/Iris landmark 171 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_171_Y,float,Face/Iris landmark 171 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_171_Z,float,"Face/Iris landmark 171 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_172_X,float,Face/Iris landmark 172 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_172_Y,float,Face/Iris landmark 172 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_172_Z,float,"Face/Iris landmark 172 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_173_X,float,Face/Iris landmark 173 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_173_Y,float,Face/Iris landmark 173 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_173_Z,float,"Face/Iris landmark 173 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_174_X,float,Face/Iris landmark 174 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_174_Y,float,Face/Iris landmark 174 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_174_Z,float,"Face/Iris landmark 174 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_175_X,float,Face/Iris landmark 175 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_175_Y,float,Face/Iris landmark 175 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_175_Z,float,"Face/Iris landmark 175 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_176_X,float,Face/Iris landmark 176 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_176_Y,float,Face/Iris landmark 176 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_176_Z,float,"Face/Iris landmark 176 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_177_X,float,Face/Iris landmark 177 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_177_Y,float,Face/Iris landmark 177 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_177_Z,float,"Face/Iris landmark 177 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_178_X,float,Face/Iris landmark 178 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_178_Y,float,Face/Iris landmark 178 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_178_Z,float,"Face/Iris landmark 178 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_179_X,float,Face/Iris landmark 179 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_179_Y,float,Face/Iris landmark 179 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_179_Z,float,"Face/Iris landmark 179 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_180_X,float,Face/Iris landmark 180 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_180_Y,float,Face/Iris landmark 180 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_180_Z,float,"Face/Iris landmark 180 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_181_X,float,Face/Iris landmark 181 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_181_Y,float,Face/Iris landmark 181 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_181_Z,float,"Face/Iris landmark 181 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_182_X,float,Face/Iris landmark 182 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_182_Y,float,Face/Iris landmark 182 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_182_Z,float,"Face/Iris landmark 182 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_183_X,float,Face/Iris landmark 183 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_183_Y,float,Face/Iris landmark 183 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_183_Z,float,"Face/Iris landmark 183 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_184_X,float,Face/Iris landmark 184 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_184_Y,float,Face/Iris landmark 184 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_184_Z,float,"Face/Iris landmark 184 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_185_X,float,Face/Iris landmark 185 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_185_Y,float,Face/Iris landmark 185 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_185_Z,float,"Face/Iris landmark 185 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_186_X,float,Face/Iris landmark 186 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_186_Y,float,Face/Iris landmark 186 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_186_Z,float,"Face/Iris landmark 186 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_187_X,float,Face/Iris landmark 187 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_187_Y,float,Face/Iris landmark 187 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_187_Z,float,"Face/Iris landmark 187 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_188_X,float,Face/Iris landmark 188 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_188_Y,float,Face/Iris landmark 188 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_188_Z,float,"Face/Iris landmark 188 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_189_X,float,Face/Iris landmark 189 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_189_Y,float,Face/Iris landmark 189 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_189_Z,float,"Face/Iris landmark 189 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_190_X,float,Face/Iris landmark 190 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_190_Y,float,Face/Iris landmark 190 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_190_Z,float,"Face/Iris landmark 190 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_191_X,float,Face/Iris landmark 191 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_191_Y,float,Face/Iris landmark 191 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_191_Z,float,"Face/Iris landmark 191 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_192_X,float,Face/Iris landmark 192 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_192_Y,float,Face/Iris landmark 192 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_192_Z,float,"Face/Iris landmark 192 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_193_X,float,Face/Iris landmark 193 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_193_Y,float,Face/Iris landmark 193 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_193_Z,float,"Face/Iris landmark 193 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_194_X,float,Face/Iris landmark 194 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_194_Y,float,Face/Iris landmark 194 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_194_Z,float,"Face/Iris landmark 194 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_195_X,float,Face/Iris landmark 195 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_195_Y,float,Face/Iris landmark 195 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_195_Z,float,"Face/Iris landmark 195 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_196_X,float,Face/Iris landmark 196 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_196_Y,float,Face/Iris landmark 196 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_196_Z,float,"Face/Iris landmark 196 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_197_X,float,Face/Iris landmark 197 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_197_Y,float,Face/Iris landmark 197 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_197_Z,float,"Face/Iris landmark 197 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_198_X,float,Face/Iris landmark 198 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_198_Y,float,Face/Iris landmark 198 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_198_Z,float,"Face/Iris landmark 198 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_199_X,float,Face/Iris landmark 199 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_199_Y,float,Face/Iris landmark 199 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_199_Z,float,"Face/Iris landmark 199 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_200_X,float,Face/Iris landmark 200 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_200_Y,float,Face/Iris landmark 200 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_200_Z,float,"Face/Iris landmark 200 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_201_X,float,Face/Iris landmark 201 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_201_Y,float,Face/Iris landmark 201 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_201_Z,float,"Face/Iris landmark 201 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_202_X,float,Face/Iris landmark 202 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_202_Y,float,Face/Iris landmark 202 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_202_Z,float,"Face/Iris landmark 202 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_203_X,float,Face/Iris landmark 203 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_203_Y,float,Face/Iris landmark 203 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_203_Z,float,"Face/Iris landmark 203 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_204_X,float,Face/Iris landmark 204 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_204_Y,float,Face/Iris landmark 204 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_204_Z,float,"Face/Iris landmark 204 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_205_X,float,Face/Iris landmark 205 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_205_Y,float,Face/Iris landmark 205 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_205_Z,float,"Face/Iris landmark 205 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_206_X,float,Face/Iris landmark 206 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_206_Y,float,Face/Iris landmark 206 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_206_Z,float,"Face/Iris landmark 206 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_207_X,float,Face/Iris landmark 207 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_207_Y,float,Face/Iris landmark 207 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_207_Z,float,"Face/Iris landmark 207 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_208_X,float,Face/Iris landmark 208 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_208_Y,float,Face/Iris landmark 208 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_208_Z,float,"Face/Iris landmark 208 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_209_X,float,Face/Iris landmark 209 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_209_Y,float,Face/Iris landmark 209 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_209_Z,float,"Face/Iris landmark 209 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_210_X,float,Face/Iris landmark 210 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_210_Y,float,Face/Iris landmark 210 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_210_Z,float,"Face/Iris landmark 210 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
